RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2025-06-30,2025-08-31,2026-05-31
102001,0,United States,country,,2025-05-31,-0.2,-0.5,-0.7
394913,1,"New York, NY",msa,NY,2025-05-31,0.1,-0.2,-1.2
753899,2,"Los Angeles, CA",msa,CA,2025-05-31,-0.3,-0.4,-0.8
394463,3,"Chicago, IL",msa,IL,2025-05-31,0.0,-0.5,-1.1
394514,4,"Dallas, TX",msa,TX,2025-05-31,-0.6,-1.5,-2.2
394692,5,"Houston, TX",msa,TX,2025-05-31,-0.3,-0.7,-1.8
395209,6,"Washington, DC",msa,VA,2025-05-31,-0.3,-1.3,-2.9
394974,7,"Philadelphia, PA",msa,PA,2025-05-31,0.1,0.0,0.1
394856,8,"Miami, FL",msa,FL,2025-05-31,-0.5,-1.1,-0.1
394347,9,"Atlanta, GA",msa,GA,2025-05-31,-0.3,-1.1,-0.8
394404,10,"Boston, MA",msa,MA,2025-05-31,-0.2,-0.8,-1.2
394976,11,"Phoenix, AZ",msa,AZ,2025-05-31,-0.2,-0.6,-0.9
395057,12,"San Francisco, CA",msa,CA,2025-05-31,-0.8,-2.4,-5.5
395025,13,"Riverside, CA",msa,CA,2025-05-31,-0.2,-0.6,-0.2
394532,14,"Detroit, MI",msa,MI,2025-05-31,0.0,-0.5,-1.0
395078,15,"Seattle, WA",msa,WA,2025-05-31,-0.7,-1.9,-2.7
394865,16,"Minneapolis, MN",msa,MN,2025-05-31,-0.2,-0.9,-3.1
395056,17,"San Diego, CA",msa,CA,2025-05-31,-0.6,-1.4,-0.9
395148,18,"Tampa, FL",msa,FL,2025-05-31,-0.5,-1.1,-0.7
394530,19,"Denver, CO",msa,CO,2025-05-31,-0.6,-1.7,-3.3
394358,20,"Baltimore, MD",msa,MD,2025-05-31,-0.1,-0.8,-2.4
395121,21,"St. Louis, MO",msa,MO,2025-05-31,-0.1,-0.4,-0.9
394943,22,"Orlando, FL",msa,FL,2025-05-31,-0.5,-1.1,-0.9
394458,23,"Charlotte, NC",msa,NC,2025-05-31,-0.2,-0.3,0.5
395055,24,"San Antonio, TX",msa,TX,2025-05-31,-0.4,-1.2,-3.2
394998,25,"Portland, OR",msa,OR,2025-05-31,-0.4,-1.3,-3.1
395045,26,"Sacramento, CA",msa,CA,2025-05-31,-0.5,-1.4,-3.1
394982,27,"Pittsburgh, PA",msa,PA,2025-05-31,0.0,-0.6,-2.3
394466,28,"Cincinnati, OH",msa,OH,2025-05-31,0.0,-0.2,0.0
394355,29,"Austin, TX",msa,TX,2025-05-31,-0.8,-2.4,-4.2
394775,30,"Las Vegas, NV",msa,NV,2025-05-31,-0.1,-0.3,-0.4
394735,31,"Kansas City, MO",msa,MO,2025-05-31,-0.1,-0.3,-0.4
394492,32,"Columbus, OH",msa,OH,2025-05-31,-0.1,-0.4,-0.1
394705,34,"Indianapolis, IN",msa,IN,2025-05-31,-0.1,-0.2,0.1
394475,35,"Cleveland, OH",msa,OH,2025-05-31,0.2,0.1,0.6
395059,36,"San Jose, CA",msa,CA,2025-05-31,-1.0,-2.4,-3.8
394902,37,"Nashville, TN",msa,TN,2025-05-31,-0.1,-0.5,-0.4
395194,38,"Virginia Beach, VA",msa,VA,2025-05-31,-0.1,-0.4,-0.8
395005,39,"Providence, RI",msa,RI,2025-05-31,-0.1,-0.4,0.6
394714,40,"Jacksonville, FL",msa,FL,2025-05-31,-0.4,-1.0,-1.1
394862,41,"Milwaukee, WI",msa,WI,2025-05-31,0.1,-0.2,-0.5
394935,42,"Oklahoma City, OK",msa,OK,2025-05-31,0.0,-0.3,-0.5
395012,43,"Raleigh, NC",msa,NC,2025-05-31,-0.3,-0.8,-0.6
394849,44,"Memphis, TN",msa,TN,2025-05-31,-0.1,-0.4,-0.8
395022,45,"Richmond, VA",msa,VA,2025-05-31,-0.1,-0.3,-0.1
394807,46,"Louisville, KY",msa,KY,2025-05-31,0.1,-0.1,-0.7
394910,47,"New Orleans, LA",msa,LA,2025-05-31,-0.3,-1.8,-7.2
395053,48,"Salt Lake City, UT",msa,UT,2025-05-31,-0.2,-0.9,-1.2
394669,49,"Hartford, CT",msa,CT,2025-05-31,0.1,-0.3,1.1
394425,50,"Buffalo, NY",msa,NY,2025-05-31,0.3,0.6,1.4
394388,51,"Birmingham, AL",msa,AL,2025-05-31,0.0,-0.4,-1.5
395031,52,"Rochester, NY",msa,NY,2025-05-31,0.4,0.7,2.2
394640,53,"Grand Rapids, MI",msa,MI,2025-05-31,0.1,-0.3,0.1
395167,54,"Tucson, AZ",msa,AZ,2025-05-31,-0.2,-0.2,-0.1
753924,55,"Urban Honolulu, HI",msa,HI,2025-05-31,-0.5,-1.5,-3.4
395169,56,"Tulsa, OK",msa,OK,2025-05-31,0.0,-0.1,0.1
394619,57,"Fresno, CA",msa,CA,2025-05-31,-0.1,-0.3,-0.5
395238,58,"Worcester, MA",msa,MA,2025-05-31,-0.2,-0.6,0.5
394938,59,"Omaha, NE",msa,NE,2025-05-31,-0.2,-0.6,-0.9
394415,60,"Bridgeport, CT",msa,CT,2025-05-31,0.1,-0.1,0.9
394653,61,"Greenville, SC",msa,SC,2025-05-31,0.1,-0.1,0.2
394312,62,"Albuquerque, NM",msa,NM,2025-05-31,0.0,0.1,1.3
394357,63,"Bakersfield, CA",msa,CA,2025-05-31,0.0,0.0,0.8
394308,64,"Albany, NY",msa,NY,2025-05-31,0.3,0.3,0.2
394753,65,"Knoxville, TN",msa,TN,2025-05-31,-0.1,-0.1,2.6
394367,66,"Baton Rouge, LA",msa,LA,2025-05-31,-0.3,-1.0,-3.6
394843,67,"McAllen, TX",msa,TX,2025-05-31,-0.2,-0.1,0.9
394908,68,"New Haven, CT",msa,CT,2025-05-31,0.1,-0.2,1.5
394561,69,"El Paso, TX",msa,TX,2025-05-31,0.0,0.0,0.9
394318,70,"Allentown, PA",msa,PA,2025-05-31,0.1,0.0,0.8
394952,71,"Oxnard, CA",msa,CA,2025-05-31,-0.3,-0.8,-1.6
394486,72,"Columbia, SC",msa,SC,2025-05-31,-0.1,-0.3,0.2
753906,73,"North Port, FL",msa,FL,2025-05-31,-0.7,-2.0,-2.2
394457,75,"Charleston, SC",msa,SC,2025-05-31,-0.1,-0.3,0.7
394648,76,"Greensboro, NC",msa,NC,2025-05-31,-0.3,-0.5,-0.2
395134,77,"Stockton, CA",msa,CA,2025-05-31,-0.5,-1.3,-2.7
394440,78,"Cape Coral, FL",msa,FL,2025-05-31,-0.9,-1.9,-1.9
394399,79,"Boise City, ID",msa,ID,2025-05-31,-0.4,-1.0,-1.3
394484,80,"Colorado Springs, CO",msa,CO,2025-05-31,-0.5,-1.3,-3.0
394798,81,"Little Rock, AR",msa,AR,2025-05-31,0.0,-0.3,-1.7
394766,82,"Lakeland, FL",msa,FL,2025-05-31,-0.4,-0.8,-0.6
394304,83,"Akron, OH",msa,OH,2025-05-31,0.1,0.0,0.1
394531,84,"Des Moines, IA",msa,IA,2025-05-31,-0.1,-0.6,-1.8
395115,85,"Springfield, MA",msa,MA,2025-05-31,-0.1,-0.5,-0.1
394931,87,"Ogden, UT",msa,UT,2025-05-31,-0.2,-0.7,-0.5
394816,88,"Madison, WI",msa,WI,2025-05-31,-0.1,-0.5,-0.6
395235,89,"Winston, NC",msa,NC,2025-05-31,-0.1,-0.3,0.4
394528,90,"Deltona, FL",msa,FL,2025-05-31,-0.4,-1.0,-1.1
395143,91,"Syracuse, NY",msa,NY,2025-05-31,0.4,0.4,2.1
395006,92,"Provo, UT",msa,UT,2025-05-31,-0.2,-0.6,-1.0
395160,93,"Toledo, OH",msa,OH,2025-05-31,-0.1,-0.5,-0.5
395224,94,"Wichita, KS",msa,KS,2025-05-31,-0.1,-0.3,-0.1
394549,95,"Durham, NC",msa,NC,2025-05-31,-0.2,-0.7,-0.1
394352,96,"Augusta, GA",msa,GA,2025-05-31,0.1,0.0,-0.1
394957,97,"Palm Bay, FL",msa,FL,2025-05-31,-0.5,-1.1,-1.1
394711,98,"Jackson, MS",msa,MS,2025-05-31,-0.3,-0.8,-2.0
394666,99,"Harrisburg, PA",msa,PA,2025-05-31,0.2,0.2,0.3
395113,100,"Spokane, WA",msa,WA,2025-05-31,-0.3,-1.2,-1.5
395075,101,"Scranton, PA",msa,PA,2025-05-31,0.0,-0.4,0.1
394460,102,"Chattanooga, TN",msa,TN,2025-05-31,0.0,-0.2,0.6
394871,103,"Modesto, CA",msa,CA,2025-05-31,0.0,-0.4,-1.2
394768,104,"Lancaster, PA",msa,PA,2025-05-31,0.2,0.2,0.7
394997,105,"Portland, ME",msa,ME,2025-05-31,0.0,-0.3,1.0
395245,106,"Youngstown, OH",msa,OH,2025-05-31,0.0,0.1,1.1
394770,107,"Lansing, MI",msa,MI,2025-05-31,0.0,-0.4,-0.7
394590,108,"Fayetteville, AR",msa,AR,2025-05-31,0.1,0.1,2.1
394589,109,"Fayetteville, NC",msa,NC,2025-05-31,-0.1,0.0,1.6
394792,110,"Lexington, KY",msa,KY,2025-05-31,0.0,0.1,0.8
394971,111,"Pensacola, FL",msa,FL,2025-05-31,-0.2,-0.6,-0.5
395068,112,"Santa Rosa, CA",msa,CA,2025-05-31,-0.5,-1.6,-4.5
395019,113,"Reno, NV",msa,NV,2025-05-31,-0.3,-0.9,-1.6
394698,114,"Huntsville, AL",msa,AL,2025-05-31,0.0,-0.1,-0.4
394995,115,"Port St. Lucie, FL",msa,FL,2025-05-31,-0.5,-1.0,0.0
394761,116,"Lafayette, LA",msa,LA,2025-05-31,-0.4,-1.7,-6.6
394898,117,"Myrtle Beach, SC",msa,SC,2025-05-31,-0.3,-0.7,-0.1
395116,118,"Springfield, MO",msa,MO,2025-05-31,-0.1,-0.2,0.7
395195,119,"Visalia, CA",msa,CA,2025-05-31,0.0,0.0,0.2
394746,120,"Killeen, TX",msa,TX,2025-05-31,-0.2,-0.7,-1.0
394338,121,"Asheville, NC",msa,NC,2025-05-31,-0.4,-0.9,-0.2
395244,122,"York, PA",msa,PA,2025-05-31,0.3,0.3,0.8
395183,123,"Vallejo, CA",msa,CA,2025-05-31,-0.6,-1.7,-3.9
753917,124,"Santa Maria, CA",msa,CA,2025-05-31,-0.3,-0.5,0.6
395050,125,"Salinas, CA",msa,CA,2025-05-31,-0.4,-1.1,-1.7
395048,126,"Salem, OR",msa,OR,2025-05-31,-0.1,-0.5,-1.6
394870,127,"Mobile, AL",msa,AL,2025-05-31,-0.3,-0.8,-1.4
395015,128,"Reading, PA",msa,PA,2025-05-31,0.1,0.2,1.3
394502,129,"Corpus Christi, TX",msa,TX,2025-05-31,-0.4,-1.2,-4.2
394421,130,"Brownsville, TX",msa,TX,2025-05-31,0.0,-0.1,0.5
394820,131,"Manchester, NH",msa,NH,2025-05-31,-0.1,-0.3,1.2
394612,132,"Fort Wayne, IN",msa,IN,2025-05-31,0.0,0.0,1.0
394658,133,"Gulfport, MS",msa,MS,2025-05-31,-0.1,-0.4,-1.2
395051,134,"Salisbury, MD",msa,DE,2025-05-31,-0.3,-0.9,-0.8
394596,135,"Flint, MI",msa,MI,2025-05-31,0.3,0.1,0.0
394972,136,"Peoria, IL",msa,IL,2025-05-31,0.2,-0.1,-0.5
394439,137,"Canton, OH",msa,OH,2025-05-31,0.2,0.3,0.6
395070,138,"Savannah, GA",msa,GA,2025-05-31,-0.3,-0.7,0.8
394327,139,"Anchorage, AK",msa,AK,2025-05-31,0.0,-0.8,-3.5
394372,140,"Beaumont, TX",msa,TX,2025-05-31,-0.4,-1.6,-6.2
395096,141,"Shreveport, LA",msa,LA,2025-05-31,-0.7,-2.1,-6.4
395164,142,"Trenton, NJ",msa,NJ,2025-05-31,0.0,-0.1,1.1
394875,143,"Montgomery, AL",msa,AL,2025-05-31,0.0,-0.2,-1.3
